n,fill,fill_accesses,fill_bytes,rar,rar_accesses,rar_bytes
3856,0.231965,165982,25229264,3.22762e-05,24,3648
3864,0.232233,166174,25258448,3.4015e-05,24,3648
3872,0.232501,166366,25287632,3.22194e-05,24,3648
3880,0.23277,166558,25316816,3.22912e-05,24,3648
3888,0.233048,166750,25346000,3.2236e-05,24,3648
3896,0.233315,166942,25375184,3.22775e-05,24,3648
3904,0.233584,167134,25404368,3.22405e-05,24,3648
3912,0.233853,167326,25433552,3.22629e-05,24,3648
3920,0.234121,167518,25462736,3.22983e-05,24,3648
3928,0.23439,167710,25491920,3.21877e-05,24,3648
3936,0.234668,167902,25521104,3.22821e-05,24,3648
3944,0.234937,168094,25550288,3.22023e-05,24,3648
3952,0.235207,168286,25579472,3.22299e-05,24,3648
3960,0.235476,168478,25608656,3.22711e-05,24,3648
3968,0.235745,168670,25637840,3.31955e-05,24,3648
